,homepage_url,funding_total_usd,country_code,region,funding_rounds,founded_at,founded_quarter,first_funding_at,last_funding_at,label,industry
12691,1,20118.0,LTU,Vilnius,1,2011-04-01,2,2012-02-26,2012-02-26,1,Enterprise Software
12694,1,19299.0,DNK,Copenhagen,1,2013-09-05,3,2013-09-02,2013-09-02,1,Fashion
12696,1,84751.0,KOR,Seoul,1,2012-07-27,3,2012-06-01,2012-06-01,1,Social Media
12698,1,16500000.0,USA,SF Bay Area,3,2010-01-01,1,2011-06-01,2014-06-28,5,ECommerce
12699,1,5000.0,USA,New York City,1,2014-05-11,2,2014-05-23,2014-05-23,1,Software
12702,1,102.0,KOR,Seoul,1,2012-09-12,3,2012-10-20,2012-10-20,1,Unknown
12706,1,1250000.0,ARE,Dubai,1,2012-12-01,4,2014-11-26,2014-11-26,3,ECommerce
12707,1,5493124.0,USA,Denver,1,2008-01-01,1,2010-05-27,2010-05-27,5,Health Care
12710,1,2500000.0,PAK,Karachi,1,2013-06-14,2,2013-03-01,2013-03-01,4,0_other_cat
12711,1,12125000.0,USA,Madison,4,2010-01-01,1,2012-06-04,2014-10-07,5,0_other_cat
12713,1,8000000.0,USA,SF Bay Area,1,2012-02-07,1,2014-09-18,2014-09-18,5,Curated Web
12717,1,4018200.0,TUR,Istanbul,2,2009-01-01,1,2009-01-01,2011-12-06,5,Curated Web
12719,1,36000000.0,CHN,Shanghai,1,2000-01-01,1,2013-02-05,2013-02-05,5,Software
12724,1,23000000.0,USA,New York City,2,2004-10-01,4,2006-09-20,2008-09-01,1,ECommerce
12725,1,400000.0,USA,New York City,2,2012-06-05,2,2013-04-15,2014-06-30,2,Search
12728,0,40000.0,CHL,Santiago,1,2011-02-01,1,2012-02-09,2012-02-09,1,Software
12730,1,1100000.0,ISR,Jerusalem,1,2003-01-01,1,2009-03-02,2009-03-02,1,ECommerce
12732,1,20000.0,USA,Phoenix,1,2012-12-24,4,2013-05-21,2013-05-21,1,Software
12735,1,50000.0,USA,Denver,1,2007-01-01,1,2012-03-27,2012-03-27,1,ECommerce
12736,1,685000.0,USA,San Diego,2,2012-01-01,1,2013-11-16,2014-06-02,3,SaaS
12740,1,2134000.0,USA,Hartford,8,2012-01-01,1,2012-03-02,2014-11-25,4,Software
12742,1,510000.0,CAN,Vancouver,1,2009-01-01,1,2012-10-15,2012-10-15,3,Software
12745,1,5500000.0,IND,Mumbai,1,2000-01-01,1,2006-06-07,2006-06-07,5,Advertising
12746,1,15873700.0,USA,SF Bay Area,2,2003-09-01,3,2006-10-26,2008-02-05,5,0_other_cat
12748,1,38000000.0,USA,MN  Other,4,2004-01-01,1,2004-01-01,2009-09-29,5,Analytics
12749,1,36234003.0,GBR,London,2,2009-01-01,1,2013-09-22,2014-06-23,5,Finance
12751,1,6500000.0,USA,Los Angeles,2,2009-08-09,3,2010-11-08,2011-10-12,5,0_other_cat
12752,1,2300000.0,AUS,Melbourne,2,2010-01-01,1,2010-01-01,2014-08-19,4,0_other_cat
12754,1,500000.0,USA,Pittsburgh,1,2009-09-01,3,2009-09-01,2009-09-01,3,Enterprise Software
12755,1,16000.0,USA,Palm Beaches,1,2009-11-01,4,2012-08-28,2012-08-28,1,Advertising
12756,1,3500000.0,USA,New York City,1,2000-01-01,1,2014-04-16,2014-04-16,4,Software
12759,1,7709323.0,USA,Los Angeles,1,2005-01-01,1,2012-03-02,2012-03-02,5,Enterprise Software
12766,1,60000.0,DNK,Frederiksberg,1,2010-09-15,3,2010-09-30,2010-09-30,1,Social Media
12769,1,1795083.0,USA,Raleigh,3,2009-01-01,1,2010-11-18,2013-03-13,4,Mobile
12770,1,50000.0,USA,Minneapolis,1,2006-08-01,3,2012-06-21,2012-06-21,1,Software
12771,1,980575.0,DEU,Frankfurt,1,2011-03-01,1,2013-03-01,2013-03-01,3,Social Media
12773,1,1500000.0,USA,Los Angeles,2,2010-01-01,1,2011-09-08,2012-05-07,4,Mobile
12774,1,13700000.0,USA,SF Bay Area,1,2007-01-01,1,2010-09-28,2010-09-28,5,Clean Technology
12775,1,500000.0,USA,Akron  Canton,2,2007-01-01,1,2007-09-01,2010-06-30,3,0_other_cat
12776,1,250000.0,USA,Los Angeles,1,2012-10-01,4,2012-01-01,2012-01-01,3,Software
12778,1,200000.0,USA,New York City,1,2011-01-01,1,2013-01-08,2013-01-08,2,Mobile
12781,1,35985886.0,USA,SF Bay Area,5,2000-01-01,1,2006-10-30,2010-09-16,5,0_other_cat
12782,1,4099999.0,USA,SF Bay Area,2,2012-01-01,1,2013-06-27,2013-11-04,5,Biotechnology
12783,1,8500000.0,USA,SF Bay Area,2,2005-07-15,3,2005-10-01,2007-10-01,4,Curated Web
12784,1,12500000.0,CHE,Geneva,2,2000-01-01,1,2005-07-01,2007-02-01,5,Mobile
12786,1,1800000.0,USA,Los Angeles,2,2012-01-01,1,2012-04-26,2013-04-19,4,0_other_cat
12788,1,310000.0,USA,San Antonio,1,2011-02-01,1,2012-04-25,2012-04-25,1,Health Care
12789,1,2248905.0,USA,Harrisburg,2,2005-01-01,1,2012-10-11,2013-11-12,4,Hardware  Software
12790,1,264414.0,GBR,Bath,2,2008-02-04,1,2008-08-10,2010-05-01,1,ECommerce
12791,1,50000.0,USA,Nashville,1,2013-01-01,1,2013-09-19,2013-09-19,1,Health and Wellness
12792,1,1200000.0,USA,New York City,1,2011-01-01,1,2011-01-01,2011-01-01,3,Analytics
12794,1,460000.0,USA,Miami,1,2011-01-01,1,2013-09-05,2013-09-05,2,Curated Web
12799,1,1028855.0,GBR,London,4,2009-01-01,1,2010-10-01,2013-03-01,3,Clean Technology
12805,1,20850000.0,USA,Raleigh,1,2012-01-01,1,2013-12-12,2013-12-12,5,Mobile
12806,1,50000.0,USA,Atlanta,1,2009-02-20,1,2014-01-30,2014-01-30,1,Clean Technology
12810,1,6620650.0,USA,Fayetteville,2,2011-11-28,4,2012-12-10,2014-09-29,5,Clean Technology
12813,1,16149048.0,CAN,Toronto,3,2007-01-01,1,2007-01-01,2012-08-01,5,Mobile
12815,1,7595758.0,USA,Boston,4,2001-01-01,1,2009-03-30,2012-03-13,5,Clean Technology
12816,1,88049.0,COL,Bogota,2,2013-01-01,1,2013-08-01,2014-06-01,1,Unknown
12817,1,100000.0,USA,San Diego,1,2008-06-01,2,2008-06-01,2008-06-01,2,Clean Technology
12818,1,500000.0,USA,SF Bay Area,1,2010-01-01,1,2011-05-25,2011-05-25,3,Software
12820,1,27394996.0,USA,SF Bay Area,4,2006-01-01,1,2010-04-06,2013-10-14,5,Enterprise Software
12823,1,295000.0,USA,Tampa,1,2011-01-01,1,2013-11-04,2013-11-04,2,Curated Web
12828,1,1600000.0,IND,Ahmedabad,1,2009-01-01,1,2013-05-27,2013-05-27,4,Hardware  Software
12833,1,1725000.0,USA,New York City,1,2008-01-01,1,2014-01-22,2014-01-22,4,Clean Technology
12835,1,16500000.0,IND,New Delhi,1,2013-01-01,1,2014-09-09,2014-09-09,5,0_other_cat
12837,1,2700000.0,USA,Atlanta,1,2009-12-01,4,2013-09-16,2013-09-16,4,ECommerce
12838,1,58510.0,GBR,GBR  Other,1,2008-06-05,2,2008-06-05,2008-06-05,1,ECommerce
12839,1,10700000.0,USA,Spokane,4,2008-08-01,3,2010-09-25,2012-08-14,5,ECommerce
12842,1,3272000.0,USA,SF Bay Area,6,2010-08-01,3,2011-07-01,2014-08-01,4,Software
12843,1,9466686.0,GBR,London,2,2011-01-01,1,2012-02-21,2013-12-18,5,0_other_cat
12846,1,3579182.0,USA,Salt Lake City,1,2000-01-01,1,2009-09-21,2009-09-21,4,Clean Technology
12847,1,2300000.0,USA,SF Bay Area,1,2011-06-21,2,2014-06-03,2014-06-03,4,Software
12848,1,653200.0,ITA,Lucca,1,2009-01-01,1,2010-12-23,2010-12-23,3,Clean Technology
12850,1,550000.0,USA,Santa Barbara,4,2009-01-01,1,2011-01-21,2013-02-14,3,Software
12853,1,5828444.0,USA,Salt Lake City,4,2010-01-01,1,2011-10-14,2013-11-20,5,Clean Technology
12854,1,31572684.0,USA,New York City,4,2008-01-01,1,2011-01-31,2013-08-27,5,Clean Technology
12855,1,21471.0,DEU,DEU  Other,1,2009-09-01,3,2009-09-01,2009-09-01,1,Search
12859,1,540000.0,USA,Memphis,5,2012-01-01,1,2012-06-01,2014-06-19,3,Unknown
12860,1,40000.0,CHL,Santiago,1,2012-06-01,2,2012-11-27,2012-11-27,1,Clean Technology
12861,1,1345291.0,BRA,Sao Paulo,1,2011-01-03,1,2013-10-01,2013-10-01,4,Clean Technology
12864,1,837000.0,USA,SF Bay Area,1,2010-01-01,1,2013-04-01,2013-04-01,3,0_other_cat
12866,1,15071350.0,GBR,London,4,2003-09-18,3,2003-09-15,2007-09-01,5,Curated Web
12867,1,3900000.0,USA,New York City,2,2007-04-01,2,2007-10-01,2014-03-01,5,Clean Technology
12868,1,14000000.0,USA,Albany New York,2,2007-01-01,1,2011-05-24,2013-11-08,5,Clean Technology
12869,1,2805000.0,USA,Boston,2,2012-10-01,4,2014-03-31,2014-10-14,4,0_other_cat
12872,1,579809.0,USA,WA  Other,1,2009-04-18,2,2011-02-22,2011-02-22,3,Unknown
12874,1,207742.0,DEU,Munich,1,2013-01-01,1,2014-05-01,2014-05-01,2,Hardware  Software
12876,1,590000.0,CAN,Vancouver,5,2008-04-02,2,2008-04-02,2011-08-15,3,Enterprise Software
12881,1,937054.0,KOR,Seoul,2,2011-07-01,3,2012-08-31,2012-12-01,3,Unknown
12883,1,3300000.0,USA,Boston,2,2011-01-01,1,2013-09-01,2014-06-24,4,0_other_cat
12885,1,6500000.0,USA,San Diego,2,2009-09-01,3,2011-12-15,2014-05-28,5,ECommerce
12886,1,565000.0,USA,New York City,1,2011-03-01,1,2011-05-01,2011-05-01,3,ECommerce
12888,1,2850000.0,IND,Mumbai,3,2011-04-01,2,2012-04-01,2013-09-06,4,Fashion
12889,1,10000000.0,CHN,CHN  Other,1,2006-01-01,1,2014-05-30,2014-05-30,5,0_other_cat
12895,1,800000.0,USA,Portland Oregon,1,2009-01-01,1,2013-08-29,2013-08-29,3,Education
12896,1,6000000.0,USA,SF Bay Area,1,2013-06-01,2,2014-09-22,2014-09-22,5,Education
12901,1,950000.0,USA,New York City,3,2011-01-01,1,2011-01-01,2013-02-01,3,Advertising
12903,1,11084050.0,USA,Springfield Illinois,4,2007-01-01,1,2010-02-03,2014-01-08,5,Unknown
12904,1,700000.0,USA,Seattle,2,2007-01-01,1,2010-02-03,2012-12-06,3,Mobile
12905,0,1000000.0,USA,Houston,1,2007-01-01,1,2011-11-30,2011-11-30,3,Biotechnology
12907,1,329250.0,IRL,Dublin,1,2007-01-01,1,2007-01-01,2007-01-01,1,Social Media
12908,1,1890000.0,GBR,London,1,2001-01-01,1,2005-05-03,2005-05-03,4,0_other_cat
12909,1,51756.0,ESP,Barcelona,1,2012-06-01,2,2012-01-01,2012-01-01,1,Fashion
12912,1,300000.0,USA,Atlanta,3,2013-09-01,3,2013-04-01,2013-10-01,2,Education
12916,1,70000.0,SVN,SVN  Other,2,2013-12-01,4,2014-01-06,2014-07-09,1,0_other_cat
12919,1,36909736.0,USA,Newark,6,2009-01-01,1,2010-11-08,2014-11-13,5,Biotechnology
12920,1,8000000.0,USA,Austin,2,2012-01-01,1,2013-05-21,2014-05-14,5,Enterprise Software
12922,1,14008001.0,USA,Washington DC,4,2009-01-01,1,2010-06-08,2013-09-20,5,0_other_cat
12924,1,6500000.0,USA,SF Bay Area,2,2005-01-01,1,2006-01-01,2007-07-01,1,ECommerce
12926,1,25000.0,USA,Denver,1,2013-10-01,4,2014-11-05,2014-11-05,1,Software
12927,1,12700000.0,USA,SF Bay Area,2,2010-07-01,3,2010-07-01,2013-05-17,5,Analytics
12928,1,1500000.0,USA,Jackson,1,2013-01-01,1,2014-09-10,2014-09-10,4,Search
12929,1,11780000.0,SWE,Stockholm,3,2004-01-01,1,2006-01-26,2009-03-17,5,Hardware  Software
12930,1,16500807.0,USA,SF Bay Area,4,2002-01-01,1,2009-06-05,2014-11-17,5,0_other_cat
12933,1,200000.0,UKR,Dnepropetrovsk,1,2008-01-01,1,2008-01-01,2008-01-01,2,Software
12934,1,38598.0,BGR,Sofia,1,2013-03-01,1,2013-09-01,2013-09-01,1,Education
12936,1,10000000.0,USA,San Diego,1,2013-01-01,1,2014-07-17,2014-07-17,5,Biotechnology
12937,1,850000.0,AUS,Sydney,3,2011-01-31,1,2011-01-31,2012-06-01,3,SaaS
12938,1,100000.0,EST,EST  Other,1,2007-11-01,4,2008-02-01,2008-02-01,2,0_other_cat
12941,1,18000000.0,USA,Boston,1,2009-01-01,1,2013-07-30,2013-07-30,5,Biotechnology
12943,1,587000.0,GBR,Edinburgh,2,2005-01-01,1,2006-02-01,2007-05-04,1,Hardware  Software
12944,1,1454259.0,USA,Milwaukee,3,2013-04-02,2,2014-01-02,2014-11-13,4,Clean Technology
12948,1,43000000.0,USA,Boston,1,2013-01-01,1,2013-11-25,2013-11-25,5,Biotechnology
12949,1,6000000.0,GBR,London,2,2009-01-01,1,2011-06-07,2014-02-11,5,Analytics
12950,1,2500000.0,HKG,Hong Kong,3,2003-02-21,1,2006-01-01,2007-06-10,4,Curated Web
12955,1,2500000.0,FRA,Paris,1,2009-07-19,3,2013-09-25,2013-09-25,4,Software
12961,1,260000.0,USA,SF Bay Area,3,2012-03-01,1,2012-03-01,2013-09-02,2,Social Network Media
12963,1,100000.0,USA,Des Moines,1,2010-01-01,1,2013-09-25,2013-09-25,2,Hardware  Software
12964,1,2706000.0,USA,Knoxville,4,2005-01-01,1,2010-01-14,2013-05-13,4,Biotechnology
12967,1,2000000.0,IND,Bangalore,1,2010-01-01,1,2013-05-29,2013-05-29,4,Software
12970,1,964000.0,IND,Chennai,1,2001-01-01,1,2008-03-27,2008-03-27,1,Education
12971,1,50000.0,IND,Chennai,1,2013-01-01,1,2013-06-30,2013-06-30,1,0_other_cat
12972,1,2860000.0,USA,SF Bay Area,3,2011-02-01,1,2012-08-29,2014-05-30,4,Curated Web
12973,1,618000.0,USA,Providence,3,2012-01-01,1,2013-01-01,2014-11-13,3,Education
12974,1,51475.0,ARG,Buenos Aires,1,2011-11-14,4,2012-09-01,2012-09-01,1,ECommerce
12975,1,18000.0,USA,Boston,1,2013-01-01,1,2013-06-01,2013-06-01,1,Education
12977,1,8100000.0,USA,SF Bay Area,2,2010-01-01,1,2011-02-01,2012-03-06,5,Education
12978,1,50000.0,USA,New Orleans,1,2013-03-22,1,2013-03-01,2013-03-01,1,Music
12980,1,30260000.0,USA,SF Bay Area,5,2006-09-01,3,2006-08-01,2012-10-01,5,Education
12982,1,9000000.0,USA,SF Bay Area,1,2012-01-01,1,2013-12-04,2013-12-04,5,0_other_cat
12983,1,120000.0,USA,SF Bay Area,1,2013-01-02,1,2013-01-03,2013-01-03,2,ECommerce
12984,1,685000.0,USA,Chicago,1,2011-01-01,1,2011-08-24,2011-08-24,3,Health and Wellness
12985,1,600000.0,USA,New York City,1,2012-07-01,3,2012-09-30,2012-09-30,3,Social Network Media
12989,1,500000.0,IND,New Delhi,1,2011-01-01,1,2013-05-30,2013-05-30,3,Education
12991,1,59730.0,JPN,Tokyo,2,2012-09-01,3,2012-03-01,2012-03-20,1,Education
12992,1,1352713.0,USA,Louisville,2,2011-01-01,1,2013-06-03,2014-01-21,4,Biotechnology
12993,1,530000.0,USA,Seattle,1,2012-05-01,2,2013-10-21,2013-10-21,3,Education
12995,1,694280.0,FRA,Paris,2,2010-03-01,1,2010-11-01,2011-03-01,3,Apps
12998,1,1500000.0,IND,Mumbai,1,2007-01-01,1,2014-04-08,2014-04-08,4,Education
12999,1,40000.0,DZA,Chlef,1,2012-09-13,3,2013-03-08,2013-03-08,1,Education
13000,1,40000.0,CHL,Santiago,1,2012-01-01,1,2012-11-15,2012-11-15,1,Education
13001,1,688566.0,ROM,Bucharest,1,2013-01-01,1,2014-03-01,2014-03-01,3,Social Network Media
13004,1,290000.0,USA,Columbus Ohio,2,2012-01-01,1,2012-06-01,2014-04-21,2,Enterprise Software
13005,1,250000.0,POL,Wroclaw,3,2010-08-01,3,2010-09-01,2013-02-01,2,Education
13008,1,15000.0,USA,New York City,1,2012-09-01,3,2013-01-01,2013-01-01,1,Education
13011,1,20000.0,USA,New York City,1,2014-01-01,1,2014-07-24,2014-07-24,1,Education
13016,1,325398.0,GBR,London,4,2013-01-20,1,2013-01-01,2014-02-01,2,ECommerce
13021,1,1700000.0,DEU,Berlin,1,2011-09-01,3,2012-05-10,2012-05-10,4,Software
13023,1,350000.0,USA,Columbus Ohio,2,2009-11-01,4,2010-10-27,2012-03-09,2,Curated Web
13025,1,400000.0,USA,SF Bay Area,2,2013-04-10,2,2013-01-01,2014-03-07,2,0_other_cat
13026,1,50000.0,USA,Los Angeles,1,2007-09-13,3,2008-02-07,2008-02-07,1,Social Network Media
13029,1,614900.0,SWE,Malmo,1,2012-08-01,3,2012-08-01,2012-08-01,3,Mobile
13030,0,721566.0,USA,Atlanta,1,2009-01-01,1,2011-06-29,2011-06-29,3,Biotechnology
13032,1,4000000.0,AUS,Melbourne,1,2008-09-01,3,2010-02-17,2010-02-17,5,Advertising
13033,1,45000000.0,USA,San Diego,1,2012-01-01,1,2013-05-20,2013-05-20,5,Biotechnology
13034,1,1560995.0,DEU,Berlin,1,2013-03-11,1,2013-03-11,2013-03-11,4,SaaS
13035,1,3164325.0,USA,Denver,1,2003-01-01,1,2009-03-10,2009-03-10,4,Biotechnology
13036,1,600000.0,USA,Richmond,1,2012-01-20,1,2012-01-25,2012-01-25,3,Analytics
13038,1,141410.0,GBR,London,1,2010-10-01,4,2011-04-01,2011-04-01,1,0_other_cat
13039,1,4125000.0,USA,SF Bay Area,2,2006-01-01,1,2011-06-16,2014-07-31,5,Clean Technology
13040,1,6000000.0,USA,SF Bay Area,1,2002-01-01,1,2006-08-31,2006-08-31,4,Advertising
13042,1,5332740.0,FRA,Paris,1,2007-01-01,1,2010-09-08,2010-09-08,5,0_other_cat
13050,1,40000.0,CHL,Santiago,1,2010-01-01,1,2011-12-28,2011-12-28,1,Clean Technology
13051,1,200000.0,USA,Los Angeles,1,2011-08-10,3,2011-08-10,2011-08-10,2,0_other_cat
13052,1,649000.0,GBR,London,1,2004-01-01,1,2008-05-27,2008-05-27,3,Enterprise Software
13054,1,26000002.0,USA,Atlanta,1,2002-01-01,1,2013-09-30,2013-09-30,5,Cloud Computing
13058,1,295000.0,USA,Cleveland,3,2011-06-13,2,2011-09-08,2013-05-08,2,Curated Web
13059,1,4002098.0,DEU,Frankfurt,1,2010-09-01,3,2011-01-01,2011-01-01,5,0_other_cat
13063,1,23417332.0,USA,Huntsville,3,2002-01-01,1,2008-08-04,2013-10-25,5,Biotechnology
13064,1,44000000.0,JPN,Tokyo,3,2000-01-01,1,2006-08-14,2014-06-06,5,Enterprise Software
13065,1,300000.0,USA,Los Angeles,1,2006-07-01,3,2007-01-01,2007-01-01,2,Social Media
13068,1,880000.0,USA,Sacramento,1,2007-09-18,3,2010-01-10,2010-01-10,3,Video
13070,0,1658525.0,USA,Atlanta,1,2006-01-01,1,2009-07-30,2009-07-30,4,0_other_cat
13074,1,27000000.0,GBR,London,3,2001-01-01,1,2006-07-02,2008-04-14,5,Software
13077,1,1850000.0,USA,SF Bay Area,2,2011-06-01,2,2011-10-14,2014-04-04,4,Mobile
13078,1,3000000.0,USA,Ontario  Inland Empire,1,2012-03-12,1,2013-09-04,2013-09-04,4,Apps
13079,1,300000.0,USA,Atlanta,1,2012-02-24,1,2013-12-10,2013-12-10,2,Mobile
13080,1,12550.0,USA,San Diego,2,2012-03-10,1,2011-06-21,2013-05-09,1,Biotechnology
13082,1,3333553.0,GBR,London,1,2007-10-09,4,2014-03-06,2014-03-06,4,Security
13083,0,20500000.0,USA,Atlanta,1,2000-01-01,1,2006-02-27,2006-02-27,5,Software
13085,1,50000.0,IND,Delhi,1,2009-11-26,4,2009-01-01,2009-01-01,1,ECommerce
13086,1,15000000.0,DEU,Munich,1,2010-01-01,1,2014-07-21,2014-07-21,5,0_other_cat
13088,1,40000.0,CHL,Santiago,1,2010-01-01,1,2012-06-04,2012-06-04,1,Health and Wellness
13090,1,8595974.0,USA,Rochester New York,3,2007-01-01,1,2010-01-08,2013-01-11,5,Enterprise Software
13091,1,10176.0,GBR,GBR  Other,1,2009-01-01,1,2009-01-01,2009-01-01,1,Health and Wellness
13096,1,14113123.0,USA,SF Bay Area,2,2008-01-01,1,2009-02-25,2014-04-11,5,Biotechnology
13098,0,7032007.0,GBR,London,1,2010-01-01,1,2010-09-18,2010-09-18,5,0_other_cat
13099,1,19862991.0,USA,SF Bay Area,6,2006-01-01,1,2008-06-05,2014-05-08,5,Advertising
13104,1,14000000.0,USA,SF Bay Area,2,2007-01-01,1,2009-08-31,2010-05-14,5,Clean Technology
13105,1,15500000.0,USA,Boston,4,2001-01-01,1,2009-01-21,2012-06-15,5,Enterprise Software
13110,1,26220000.0,CHN,Guangzhou,2,2011-01-01,1,2013-08-01,2013-08-20,5,Games
13111,1,16000000.0,IND,Bangalore,3,2004-01-01,1,2005-01-01,2013-10-15,5,Software
13112,1,40000000.0,USA,Washington DC,2,2000-01-01,1,2006-01-01,2008-07-01,5,Clean Technology
13113,1,22000000.0,USA,Washington DC,2,2000-01-01,1,2006-10-31,2013-08-02,5,Software
13114,1,127800.0,ZAF,Cape Town,1,2013-01-01,1,2014-09-17,2014-09-17,2,Internet
13115,1,1230000.0,FRA,Lannion,4,2003-01-01,1,2003-04-01,2010-06-01,3,Hardware  Software
13117,1,1000000.0,USA,New York City,1,2012-03-07,1,2014-04-09,2014-04-09,3,0_other_cat
13118,1,800000.0,USA,SF Bay Area,2,2013-02-01,1,2013-09-18,2014-01-01,3,Mobile
13120,1,27000.0,USA,Dallas,1,2013-07-01,3,2013-10-07,2013-10-07,1,0_other_cat
13121,1,400000.0,USA,New York City,1,2014-09-04,3,2014-09-04,2014-09-04,2,Software
13124,1,2605000.0,USA,Boston,2,2010-01-01,1,2011-03-31,2013-08-08,4,0_other_cat
13125,1,14069222.0,USA,SF Bay Area,3,2005-01-01,1,2010-12-07,2013-12-02,5,Hardware  Software
13128,1,40000.0,USA,Los Angeles,1,2010-12-01,4,2011-06-15,2011-06-15,1,Games
13132,1,30000000.0,USA,SF Bay Area,1,2014-01-01,1,2014-11-25,2014-11-25,5,0_other_cat
13134,1,5500000.0,USA,Newark,1,2007-01-01,1,2008-05-29,2008-05-29,1,Software
13137,1,2000000.0,USA,Duluth,1,2003-01-01,1,2013-07-22,2013-07-22,4,Biotechnology
13138,1,350000.0,GBR,London,1,2013-05-28,2,2014-05-27,2014-05-27,2,Software
13139,1,3400000.0,USA,SF Bay Area,1,2010-01-01,1,2010-12-01,2010-12-01,3,Enterprise Software
13140,1,22088383.0,CAN,Vancouver,4,2000-11-21,4,2013-06-13,2014-09-10,5,Software
13143,1,13600000.0,USA,SF Bay Area,3,2011-09-02,3,2012-05-10,2014-04-02,5,Enterprise Software
13144,1,262934.0,ITA,Milan,3,2012-12-15,4,2013-02-09,2014-02-07,2,Cloud Computing
13146,1,8000000.0,ISR,Tel Aviv,1,2014-01-01,1,2014-01-14,2014-01-14,5,Software
13148,1,14600000.0,USA,SF Bay Area,2,2007-01-01,1,2007-08-15,2008-08-05,1,Enterprise Software
13150,1,51045109.0,USA,San Diego,4,2010-01-01,1,2010-03-17,2014-02-21,5,Biotechnology
13156,1,1250000.0,USA,SF Bay Area,1,2006-04-01,2,2008-08-12,2008-08-12,3,Curated Web
13161,1,8000000.0,USA,Reno  Sparks,2,2005-01-01,1,2008-11-11,2009-11-01,5,Clean Technology
13162,1,41598000.0,GBR,London,6,2002-01-01,1,2004-07-12,2014-06-18,5,Software
13163,1,50000000.0,USA,Los Angeles,1,2013-01-01,1,2014-05-19,2014-05-19,5,0_other_cat
13164,1,23000000.0,GBR,London,2,2011-05-01,2,2012-05-16,2014-08-13,5,0_other_cat
13169,1,5000.0,USA,Allentown,1,2009-01-01,1,2010-03-30,2010-03-30,1,Hardware  Software
13174,1,50500000.0,USA,Newark,2,2005-01-01,1,2012-11-26,2014-06-30,5,Health Care
13175,1,788585.0,USA,Detroit,2,2003-01-01,1,2009-07-06,2010-08-24,3,Unknown
13178,1,720000.0,USA,NY  Other,1,2008-01-01,1,2012-01-27,2012-01-27,3,Hardware  Software
13179,1,1541854.0,USA,San Antonio,3,2010-01-01,1,2011-08-04,2013-01-03,4,Biotechnology
13181,1,11000000.0,IND,Mumbai,2,2012-01-01,1,2013-08-26,2013-12-17,5,Hardware  Software
13182,1,300000.0,GBR,GBR  Other,1,2012-01-01,1,2014-06-05,2014-06-05,2,Software
13184,1,475000.0,USA,Portsmouth,1,2013-06-01,2,2013-11-27,2013-11-27,2,Clean Technology
13186,1,6500000.0,USA,Manchester New Hampshire,1,2007-01-01,1,2010-06-15,2010-06-15,4,Biotechnology
13192,1,87000.0,USA,ID  Other,1,2014-05-20,2,2014-05-20,2014-05-20,1,Unknown
13195,1,11000000.0,USA,Las Vegas,1,2002-01-01,1,2005-06-20,2005-06-20,5,Security
13197,0,1000000.0,USA,Seattle,1,2012-01-01,1,2013-12-10,2013-12-10,3,Unknown
13198,1,27600000.0,USA,Portland Oregon,4,2006-08-06,3,2007-12-01,2012-05-07,5,Enterprise Software
13203,1,27329746.0,USA,Roanoke,2,2008-01-01,1,2011-02-08,2013-07-08,5,Health Care
13204,1,370000.0,MEX,Monterrey,1,2013-02-22,1,2013-04-17,2013-04-17,2,Mobile
13206,1,100000.0,USA,New York City,1,2012-01-01,1,2012-05-01,2012-05-01,1,Education
13208,1,4500000.0,SGP,Singapore,1,2012-03-01,1,2013-12-26,2013-12-26,5,Curated Web
13212,1,10000000.0,USA,WY  Other,1,2006-01-01,1,2010-02-18,2010-02-18,5,Education
13215,1,500000.0,USA,Anaheim,1,2008-01-01,1,2011-12-12,2011-12-12,3,Mobile
13216,1,12150000.0,USA,Chicago,5,2011-03-01,1,2012-05-30,2014-11-07,5,Software
13219,1,500000.0,USA,MN  Other,1,2014-01-01,1,2014-07-22,2014-07-22,3,Software
13225,1,125000.0,USA,Portland Oregon,1,2002-01-01,1,2009-10-14,2009-10-14,2,Internet
13226,1,138000.0,USA,Chicago,1,2010-01-01,1,2013-09-24,2013-09-24,2,Hardware  Software
13227,1,100000.0,USA,Hartford,1,2013-01-01,1,2014-02-18,2014-02-18,2,Health and Wellness
13229,1,200000.0,USA,Des Moines,2,2009-09-01,3,2009-10-22,2009-12-18,1,Social Media
13231,1,100000.0,USA,Ft Lauderdale,1,2000-09-01,3,2000-09-01,2000-09-01,2,Software
13232,1,2025000.0,USA,Chicago,2,2011-01-01,1,2012-05-15,2014-04-25,4,Search
13236,1,135000.0,POL,POL  Other,1,2014-01-01,1,2014-01-07,2014-01-07,2,Mobile
13237,1,23000.0,USA,Long Island,1,2004-07-04,3,2014-07-11,2014-07-11,1,0_other_cat
13240,1,1000000.0,USA,Omaha,1,2011-03-10,1,2012-10-01,2012-10-01,3,0_other_cat
13241,1,202049.0,USA,Santa Barbara,1,2006-01-01,1,2014-02-21,2014-02-21,2,Health Care
13242,0,500.0,USA,MN  Other,1,2013-10-10,4,2013-10-14,2013-10-14,1,0_other_cat
13245,1,900620.0,IRL,Dublin,1,2012-01-01,1,2014-02-14,2014-02-14,3,Games
13246,0,15000000.0,GBR,Bristol,1,2000-01-01,1,2005-04-06,2005-04-06,5,0_other_cat
13247,1,250000.0,USA,NM  Other,1,2010-06-24,2,2014-04-22,2014-04-22,2,Biotechnology
13248,1,5299700.0,USA,SF Bay Area,1,2004-01-01,1,2005-03-18,2005-03-18,5,Health Care
