,homepage_url,funding_total_usd,country_code,region,funding_rounds,founded_at,founded_quarter,first_funding_at,last_funding_at,label,industry
48542,1,28400000.0,USA,New York City,4,2010-02-14,1,2010-12-01,2014-06-05,5,Analytics
48544,1,18500000.0,USA,New York City,3,2007-01-01,1,2009-02-18,2011-09-28,5,Advertising
48545,1,22100000.0,USA,New York City,3,2012-06-01,2,2012-08-01,2014-10-22,5,Mobile
48547,1,5918360.0,NLD,Amsterdam,2,2008-02-06,1,2008-02-05,2013-09-16,5,Advertising
48548,1,4000000.0,USA,SF Bay Area,2,2011-01-01,1,2013-01-07,2014-01-28,5,Curated Web
48551,1,95000.0,USA,Greenville North Carolina,1,2011-01-01,1,2013-06-27,2013-06-27,1,Software
48558,1,7550000.0,USA,New York City,3,2010-02-10,1,2010-04-07,2011-06-21,5,Curated Web
48560,1,2000000.0,USA,VA  Other,1,2006-06-01,2,2007-01-01,2007-01-01,4,Advertising
48561,1,2000000.0,USA,Fort Myers,1,2006-01-01,1,2012-03-05,2012-03-05,4,Search
48562,1,1991250.0,FRA,Paris,1,2009-02-09,1,2009-05-01,2009-05-01,4,Fashion
48564,1,6819266.0,FRA,Paris,2,2007-08-22,3,2008-10-01,2014-01-24,5,0_other_cat
48567,1,1000000.0,BRA,Sao Paulo,1,2013-04-10,2,2013-04-10,2013-04-10,3,Social Media
48573,1,1350000.0,USA,SF Bay Area,1,2010-01-01,1,2011-03-23,2011-03-23,3,Curated Web
48575,1,813646.0,ESP,Valencia,2,2011-10-01,4,2013-02-27,2014-04-09,3,ECommerce
48576,1,110000.0,HKG,Hong Kong,2,2011-08-01,3,2011-04-01,2013-06-30,2,Clean Technology
48578,1,850000.0,USA,Seattle,1,2005-11-01,4,2008-02-01,2008-02-01,3,0_other_cat
48579,1,40000002.0,USA,New York City,5,2005-03-15,1,2006-11-01,2013-02-27,5,Advertising
48582,1,18000000.0,CHN,Beijing,3,2012-10-01,4,2012-01-01,2013-12-10,5,Advertising
48583,1,4000000.0,CHN,Shanghai,1,2006-01-01,1,2013-11-11,2013-11-11,5,Travel
48584,1,5000000.0,USA,New York City,2,2010-01-01,1,2012-08-01,2013-08-30,5,ECommerce
48585,1,640000.0,THA,Chiang Mai,3,2012-12-02,4,2014-06-23,2014-08-06,3,Health and Wellness
48586,1,2800000.0,ISR,ISR  Other,2,2005-01-01,1,2006-05-11,2007-01-22,3,Hardware  Software
48588,1,2723900.0,ITA,ITA  Other,2,2000-01-01,1,2005-06-09,2011-10-04,4,0_other_cat
48589,1,6113162.0,KOR,Seoul,2,2012-06-01,2,2012-01-01,2012-08-29,5,0_other_cat
48592,1,5000000.0,TUR,Istanbul,1,2009-01-01,1,2008-01-01,2008-01-01,5,Games
48593,1,30000000.0,CHN,Nanjing,3,2007-05-01,2,2006-10-01,2014-01-21,5,ECommerce
48597,1,15000000.0,CHN,Beijing,4,2006-01-01,1,2006-08-01,2013-12-24,5,Fashion
48599,1,25000000.0,USA,SF Bay Area,2,2007-03-01,1,2007-11-01,2009-02-17,5,Internet
48600,1,2000000.0,USA,San Diego,1,2004-11-01,4,2008-06-01,2008-06-01,4,Education
48602,1,100000.0,USA,Chicago,1,2013-06-04,2,2013-12-20,2013-12-20,2,0_other_cat
48603,1,319962.0,GBR,London,1,2010-10-01,4,2014-11-01,2014-11-01,2,Health and Wellness
48607,1,12500000.0,USA,SF Bay Area,1,2003-01-01,1,2008-01-30,2008-01-30,5,Networking
48608,1,600000.0,GBR,London,1,2011-05-01,2,2012-09-28,2012-09-28,3,ECommerce
48609,1,630000.0,FIN,Helsinki,1,2013-10-17,4,2014-10-06,2014-10-06,3,Health and Wellness
48612,1,1077500.0,USA,Seminole,3,2008-01-10,1,2012-06-06,2013-02-22,3,Games
48615,1,197597.0,DEU,Bielefeld,1,2010-11-03,4,2010-11-03,2010-11-03,1,Games
48616,1,500000.0,FRA,Paris,1,2011-01-01,1,2011-12-15,2011-12-15,3,Curated Web
48617,1,4000000.0,USA,New York City,2,2004-01-01,1,2005-08-01,2007-01-01,1,Curated Web
48618,1,5450000.0,USA,SF Bay Area,2,2006-01-01,1,2006-08-01,2008-05-01,5,Social Media
